date,Rank,Company Name,% of Net Assets,Ticker,Identifier,Type,Shares Held,Market Value($),Notional Value($)
11_17_2021,1,Cash,94.44,–,–,Cash,3633913,3633913,0
11_17_2021,2,EURO,5.28,–,–,Currency,179586,203076,0
11_17_2021,3,EURO,0.29,–,–,Currency,9741,11015,0
11_17_2021,4,ECX EMISSION      DEC21,0,MOZ21,–,Future,51,0,3873170
11_17_2021,5,EURO FX CURR FUT  DEC21,0,ECZ1,–,Future,26,0,3679000
11_18_2021,1,Cash,91.78,–,–,Cash,3651868,3651868,0
11_18_2021,2,EURO,7.94,–,–,Currency,278526,316087,0
11_18_2021,3,EURO,0.28,–,–,Currency,9741,11054,0
11_18_2021,4,ECX EMISSION      DEC21,0,MOZ21,–,Future,51,0,3999342
11_18_2021,5,EURO FX CURR FUT  DEC21,0,ECZ1,–,Future,26,0,3697038
11_19_2021,1,Cash,91.4,–,–,Cash,3625132,3625132,0
11_19_2021,2,EURO,8.33,–,–,Currency,291786,330228,0
11_19_2021,3,EURO,0.28,–,–,Currency,9741,11024,0
11_19_2021,4,ECX EMISSION      DEC21,0,MOZ21,–,Future,51,0,4003395
11_19_2021,5,EURO FX CURR FUT  DEC21,0,ECZ1,–,Future,26,0,3670388
11_22_2021,1,Cash,90.68,–,–,Cash,3606189,3606189,0
11_22_2021,2,EURO,9.04,–,–,Currency,319836,359702,0
11_22_2021,3,EURO,0.28,–,–,Currency,9741,10955,0
11_22_2021,4,ECX EMISSION      DEC21,0,MOZ21,–,Future,51,0,4009818
11_22_2021,5,EURO FX CURR FUT  DEC21,0,ECZ1,–,Future,26,0,3651700
11_23_2021,1,Cash,91.66,–,–,Cash,3611954,3611954,0
11_23_2021,2,EURO,8.06,–,–,Currency,282096,317740,0
11_23_2021,3,EURO,0.28,–,–,Currency,9741,10972,0
11_23_2021,4,ECX EMISSION      DEC21,0,MOZ21,–,Future,51,0,3973407
11_23_2021,5,EURO FX CURR FUT  DEC21,0,ECZ1,–,Future,26,0,3657550
11_24_2021,1,Cash,86.93,–,–,Cash,3594969,3594969,0
11_24_2021,2,EURO,12.8,–,–,Currency,472836,529409,0
11_24_2021,3,EURO,0.26,–,–,Currency,9741,10906,0
11_24_2021,4,ECX EMISSION      DEC21,0,MOZ21,–,Future,51,0,4163300
11_24_2021,5,EURO FX CURR FUT  DEC21,0,ECZ1,–,Future,26,0,3640650
11_26_2021,1,Cash,87.08,–,–,Cash,3628591,3628591,0
11_26_2021,2,EURO,12.66,–,–,Currency,466206,527538,0
11_26_2021,3,EURO,0.26,–,–,Currency,9741,11022,0
11_26_2021,4,ECX EMISSION      DEC21,0,MOZ21,–,Future,51,0,4200081
11_26_2021,5,EURO FX CURR FUT  DEC21,0,ECZ1,–,Future,26,0,3674450
11_29_2021,1,Cash,85.4,–,–,Cash,3618573,3618573,0
11_29_2021,2,EURO,14.34,–,–,Currency,539136,607525,0
11_29_2021,3,EURO,0.26,–,–,Currency,9741,10976,0
11_29_2021,4,ECX EMISSION      DEC21,0,MOZ21,–,Future,51,0,4264798
11_29_2021,5,EURO FX CURR FUT  DEC21,0,ECZ1,–,Future,26,0,3664700
11_30_2021,1,Cash,84.35,–,–,Cash,3622311,3622311,0
11_30_2021,2,EURO,15.39,–,–,Currency,587116,660854,0
11_30_2021,3,EURO,0.26,–,–,Currency,9741,10964,0
11_30_2021,4,ECX EMISSION      DEC22,0,MOZ22,–,Future,51,0,4347302
11_30_2021,5,EURO FX CURR FUT  DEC21,0,ECZ1,–,Future,26,0,3681113
12_01_2021,1,Cash,82.46,–,–,Cash,3632851,3632851,0
12_01_2021,2,EURO,17.29,–,–,Currency,672087,761744,0
12_01_2021,3,EURO,0.25,–,–,Currency,9741,11040,0
12_01_2021,4,ECX EMISSION      DEC22,0,MOZ22,–,Future,51,0,4462428
12_01_2021,5,EURO FX CURR FUT  DEC21,0,ECZ1,–,Future,26,0,3679163
12_02_2021,1,Cash,79.26,–,–,Cash,3624904,3624904,0
12_02_2021,2,EURO,20.5,–,–,Currency,828408,937548,0
12_02_2021,3,EURO,0.24,–,–,Currency,9735,11017,0
12_02_2021,4,ECX EMISSION      DEC22,0,MOZ22,–,Future,51,0,4631956
12_02_2021,5,EURO FX CURR FUT  DEC21,0,ECZ1,–,Future,26,0,3672175
12_03_2021,1,Cash,80.97,–,–,Cash,3629518,3629518,0
12_03_2021,2,EURO,18.78,–,–,Currency,746298,841829,0
